Target distance: 50, step size: 2
0: (x, y) = x = 0 y = 0

1: (x, y) = x = -3.67394e-16 y = -2

2: (x, y) = x = 1.31212 y = -0.490581

3: (x, y) = x = 0.964822 y = 1.47903

4: (x, y) = x = 2.0541 y = -0.198306

5: (x, y) = x = 3.46831 y = 1.21591

6: (x, y) = x = 2.98447 y = -0.724684

7: (x, y) = x = 1.34617 y = 0.422469

8: (x, y) = x = 1.10243 y = -1.56262

9: (x, y) = x = -0.710189 y = -0.717387

10: (x, y) = x = -1.85734 y = -2.35569

11: (x, y) = x = 0.0651817 y = -1.80442

12: (x, y) = x = -0.519562 y = 0.108193

13: (x, y) = x = -1.72319 y = -1.48908

14: (x, y) = x = -0.191103 y = -2.77465

15: (x, y) = x = -0.809137 y = -4.67677

16: (x, y) = x = -1.68588 y = -6.47435

17: (x, y) = x = 0.277375 y = -6.85597

18: (x, y) = x = 0.451687 y = -4.86358

19: (x, y) = x = 2.43222 y = -4.58524

20: (x, y) = x = 3.2457 y = -2.75815

21: (x, y) = x = 1.24691 y = -2.82794

22: (x, y) = x = 0.157636 y = -1.1506

23: (x, y) = x = 0.331948 y = -3.14299

24: (x, y) = x = -0.0496701 y = -1.17974

25: (x, y) = x = -1.43899 y = 0.258941

26: (x, y) = x = -3.20488 y = -0.680002

27: (x, y) = x = -2.45567 y = -2.53437

28: (x, y) = x = -1.87093 y = -0.621761

29: (x, y) = x = -0.870925 y = -2.35381

30: (x, y) = x = 0.983442 y = -3.10302

31: (x, y) = x = 1.15775 y = -5.09541

32: (x, y) = x = 1.4361 y = -3.11488

33: (x, y) = x = 3.21811 y = -2.2069

34: (x, y) = x = 5.14996 y = -1.68926

35: (x, y) = x = 4.70006 y = -3.638

36: (x, y) = x = 5.81845 y = -5.29607

37: (x, y) = x = 4.22118 y = -4.09244

38: (x, y) = x = 5.68388 y = -2.72845

39: (x, y) = x = 6.0655 y = -0.765193

40: (x, y) = x = 7.00445 y = -2.53109

41: (x, y) = x = 5.2724 y = -1.53109

42: (x, y) = x = 6.96849 y = -2.59093

43: (x, y) = x = 7.24684 y = -4.57146

44: (x, y) = x = 9.07393 y = -3.75799

45: (x, y) = x = 9.69196 y = -5.6601

46: (x, y) = x = 11.1783 y = -4.32184

47: (x, y) = x = 9.64616 y = -3.03627

48: (x, y) = x = 9.8899 y = -5.02136

49: (x, y) = x = 8.68627 y = -3.42409

50: (x, y) = x = 6.97194 y = -2.39401

51: (x, y) = x = 5.33363 y = -3.54116

52: (x, y) = x = 6.61921 y = -5.07325

53: (x, y) = x = 6.68901 y = -7.07203

54: (x, y) = x = 5.37689 y = -5.56262

55: (x, y) = x = 5.82679 y = -7.51136

56: (x, y) = x = 6.13966 y = -9.48673

57: (x, y) = x = 8.00682 y = -10.2035

58: (x, y) = x = 8.11149 y = -8.20621

59: (x, y) = x = 6.67281 y = -9.59553

60: (x, y) = x = 4.92357 y = -8.62591

61: (x, y) = x = 5.76881 y = -6.81329

62: (x, y) = x = 4.25939 y = -5.50117

63: (x, y) = x = 3.08382 y = -7.11921

64: (x, y) = x = 4.70185 y = -8.29478

65: (x, y) = x = 6.49944 y = -7.41804

66: (x, y) = x = 8.4967 y = -7.31336

67: (x, y) = x = 6.96461 y = -6.02779

68: (x, y) = x = 8.4509 y = -4.68953

69: (x, y) = x = 8.72925 y = -6.67006

70: (x, y) = x = 7.17496 y = -7.9287

71: (x, y) = x = 9.05434 y = -8.61274

72: (x, y) = x = 9.77108 y = -6.74558

73: (x, y) = x = 7.78599 y = -6.98932

74: (x, y) = x = 6.50041 y = -5.45723

75: (x, y) = x = 8.13871 y = -6.60439

76: (x, y) = x = 7.26197 y = -4.8068

77: (x, y) = x = 5.28144 y = -4.52845

78: (x, y) = x = 4.7638 y = -2.5966

79: (x, y) = x = 4.58949 y = -4.58899

80: (x, y) = x = 2.60895 y = -4.31064

81: (x, y) = x = 1.43338 y = -2.69261

82: (x, y) = x = 0.403304 y = -0.978274

83: (x, y) = x = 2.39235 y = -1.18733

84: (x, y) = x = 2.42725 y = -3.18703

85: (x, y) = x = 1.80922 y = -5.08914

86: (x, y) = x = 0.094884 y = -4.05906

87: (x, y) = x = -1.87473 y = -4.40636

88: (x, y) = x = -2.32463 y = -2.45762

89: (x, y) = x = -3.44302 y = -4.1157

90: (x, y) = x = -2.89174 y = -6.03822

